t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean,da_ref_mean,planner_first-best_mean
88,4304.1107999999995,922.1710872387945,3595.267353153872,5012.954246846127,0.0,15113.692,15534.726
89,4399.635911111111,940.1441077949678,3676.9771776901025,5122.29464453212,0.0,15285.44,15711.259
90,4493.2425555555565,957.7666953586285,3757.037902202948,5229.447208908165,0.0,15457.187,15887.789
91,4589.754288888889,974.5367914960207,3840.6589985227483,5338.84957925503,0.0,15628.935,16064.318
92,4686.028388888889,992.0448613967496,3923.4752046592394,5448.5815731185385,0.0,15800.68,16240.849
93,4784.975688888889,1010.4706166274151,4008.2592154071813,5561.692162370597,0.0,15972.426,16417.38
94,4883.287855555554,1027.7581131422853,4093.283035923641,5673.292675187468,0.0,16144.175,16593.91
95,4981.349733333333,1044.3170575756483,4178.616582255436,5784.082884411229,0.0,16315.919,16770.441
96,5079.115466666666,1060.3291799235756,4264.074308806197,5894.156624527135,0.0,16487.666,16946.975
97,5179.174400000001,1077.8637359294994,4350.654989253322,6007.693810746679,0.0,16659.412,17123.504
98,5279.496644444444,1095.3309938011514,4437.550710736863,6121.442578152026,0.0,16831.16,17300.035
99,5381.105322222222,1112.4034011235456,4526.036374553531,6236.174269890913,0.0,17002.906,17476.566
100,5482.431444444444,1129.0416604333363,4614.57319851876,6350.2896903701285,0.0,17174.652,17653.094
101,5586.619066666667,1145.656729141587,4705.989348358341,6467.248784974993,0.0,17346.398,17829.629
102,5689.805811111111,1162.4552831496062,4796.263581133471,6583.348041088751,117.668755,17518.145,18006.158
103,5790.915799999999,1178.8404493706666,4884.778816335101,6697.052783664897,117.668755,17689.893,18182.69
104,5894.356211111111,1195.3821010447136,4975.5041883917265,6813.208233830496,259.62445,17861.637,18359.223
105,5999.895033333333,1210.9651331820046,5069.064831764745,6930.725234901922,259.62445,18033.383,18535.754
106,6105.251277777778,1225.7908741983028,5163.025002845507,7047.47755271005,409.946,18205.129,18712.283
107,6212.186655555556,1240.8279054401198,5258.401895215009,7165.971415896103,409.946,18376.879,18888.814
108,6319.826966666667,1255.4532766141936,5354.800150857351,7284.853782475984,564.73944,18548.623,19065.344
109,6427.725355555555,1270.833095333269,5450.876564557946,7404.574146553165,564.73944,18720.371,19241.875
110,6534.925444444444,1285.5967246902467,5546.728323330897,7523.122565557991,721.63513,18892.117,19418.408
111,6644.106288888888,1299.7421054885729,5645.036065570349,7643.176512207428,721.63513,19063.863,19594.938
112,6754.079866666667,1313.8315797604416,5744.179514703534,7763.9802186298,879.15063,19235.61,19771.467
113,6863.4969,1327.8640346974082,5842.810248332963,7884.183551667037,879.15063,19407.357,19948.0
114,6972.932311111112,1341.1887855073371,5942.0033492879875,8003.861272934236,1037.8082,19579.104,20124.53
115,7084.009344444445,1354.1372027108575,6043.127348082765,8124.891340806124,1037.8082,19750.85,20301.062
116,7196.225,1366.8721479170329,6145.554058202641,8246.89594179736,1197.7323,19922.596,20477.592
117,7308.142055555556,1379.5065805520164,6247.75942912412,8368.524681986992,1197.7323,20094.34,20654.123
118,7420.8289444444445,1391.4576993685519,6351.2598748759265,8490.398014012962,1358.52,20266.09,20830.654
119,7533.691355555556,1403.4613423612514,6454.8954691941435,8612.487241916968,1358.52,20437.834,21007.188
120,7647.185477777777,1415.4491062938,6559.174980349596,8735.19597520596,1519.7023,20609.58,21183.715
121,7763.195822222223,1427.4486177807537,6665.961683757593,8860.429960686852,1519.7023,20781.326,21360.246
122,7876.563633333332,1439.0135610156094,6770.439892561043,8982.687374105622,1678.262,20953.076,21536.777
123,7992.531866666667,1450.2910855279465,6877.739453174273,9107.324280159062,1678.262,21124.822,21713.307
124,8107.682911111111,1461.125561904583,6984.562381842951,9230.80344037927,1838.9539,21296.564,21889.84
125,8224.676755555556,1472.016451337888,7093.184747597646,9356.168763513466,1838.9539,21468.316,22066.371
126,8340.73401111111,1482.0474093292382,7201.5315262838285,9479.936495938391,1998.7067,21640.062,22242.902
127,8457.569277777779,1491.5562087461346,7311.057682691767,9604.08087286379,1998.7067,21811.805,22419.432
128,8574.1913,1501.6930572740425,7419.887833372891,9728.49476662711,2158.408,21983.557,22595.963
129,8691.26318888889,1511.6318508186182,7529.320089257537,9853.206288520243,2158.408,22155.3,22772.494
130,8807.942311111114,1520.5882530641863,7639.114711274817,9976.76991094741,2318.858,22327.045,22949.025
131,8925.017366666665,1530.183681461593,7748.814067642543,10101.220665690787,2318.858,22498.793,23125.557
132,9042.242733333333,1538.9606560981958,7859.292854373681,10225.192612292984,2477.545,22670.541,23302.086
133,9161.445077777778,1547.5969856481527,7971.856728266398,10351.03342728916,2477.545,22842.287,23478.62
134,9280.182633333334,1556.0752459737785,8084.077316031877,10476.28795063479,2637.345,23014.033,23655.146
135,9399.485666666667,1562.8655093686086,8198.160890876008,10600.810442457327,2637.345,23185.777,23831.684
136,9519.51278888889,1570.9953287203625,8311.938880750362,10727.086697027416,2797.0068,23357.523,24008.213
137,9638.101166666667,1577.962138276296,8425.17209464642,10851.030238686915,2797.0068,23529.271,24184.742
138,9757.724922222222,1585.6462615026085,8538.889310223542,10976.560534220902,2959.0903,23701.018,24361.273
139,9877.356333333333,1592.7739269862855,8653.041912641416,11101.67075402525,2959.0903,23872.768,24537.803
140,9998.794477777778,1599.839897567536,8769.048671292661,11228.540284262894,3118.8916,24044.512,24714.334
141,10119.624477777777,1607.1976187623225,8884.22302612571,11355.025929429845,3118.8916,24216.26,24890.865
142,10239.919277777777,1614.7076587653783,8998.745098358177,11481.093457197378,3280.3425,24388.004,25067.395
143,10360.72022222222,1622.0632246304995,9113.892054368709,11607.548390075732,3280.3425,24559.752,25243.928
144,10482.342133333334,1628.4610360232903,9230.59617230381,11734.088094362856,3441.0247,24731.5,25420.457
145,10603.386777777776,1634.9153599151377,9346.67958422007,11860.093971335482,3441.0247,24903.244,25596.992
146,10726.568888888889,1640.468661104003,9465.593050162664,11987.544727615114,3599.966,25074.99,25773.521
147,10848.906055555555,1646.0670633348757,9583.626903931021,12114.18520718009,3599.966,25246.738,25950.055
148,10970.362111111112,1652.1275074785726,9700.424489734398,12240.299732487825,3759.0596,25418.484,26126.584
149,11092.712222222222,1658.1398818465811,9818.153080793834,12367.27136365061,3759.0596,25590.227,26303.113
150,11215.725888888888,1664.5267459025283,9936.2573691525,12495.194408625277,3919.0938,25761.982,26479.645
151,11339.057333333334,1669.4966894036506,10055.76857684184,12622.346089824829,3919.0938,25933.72,26656.178
152,11463.132444444444,1674.235419112864,10176.201177851262,12750.063711037625,4080.6814,26105.469,26832.705
153,11586.567777777778,1679.8353347429459,10295.332034984676,12877.80352057088,4080.6814,26277.217,27009.238
154,11709.735555555555,1685.0509608043844,10414.490727674001,13004.980383437109,4239.7734,26448.965,27185.77
155,11834.264055555555,1690.251601728875,10535.021661181472,13133.506449929639,4239.7734,26620.707,27362.299
156,11957.531944444445,1694.9043941852672,10654.7130971888,13260.35079170009,4402.917,26792.453,27538.83
157,12080.127277777776,1699.991291427237,10773.398295163683,13386.856260391869,4402.917,26964.203,27715.36
158,12202.888666666666,1704.862053682423,10892.415684751888,13513.361648581444,4561.9316,27135.95,27891.895
159,12325.869222222222,1709.4815792825746,11011.845358595234,13639.89308584921,4561.9316,27307.693,28068.422
160,12447.329777777779,1713.620758339982,11130.124259476546,13764.535296079011,4724.282,27479.445,28244.955
161,12571.733611111113,1716.6622863348039,11252.190167432082,13891.277054790144,4724.282,27651.191,28421.484
162,12694.914444444446,1720.5576191339185,11372.376782917829,14017.452105971064,4884.989,27822.932,28598.014
163,12818.102222222222,1724.9502719219022,11492.188068864403,14144.01637558004,4884.989,27994.68,28774.547
164,12941.96322222222,1728.8880272653412,11613.022242162604,14270.904202281838,5049.611,28166.43,28951.08
165,13065.905333333336,1733.2448790755877,11733.615380510086,14398.195286156586,5049.611,28338.174,29127.607
166,13190.476388888892,1736.4479263825076,11855.724355953971,14525.228421823813,5208.9536,28509.922,29304.137
167,13314.982611111112,1738.9078712193498,11978.33969718748,14651.625525034744,5208.9536,28681.668,29480.672
168,13440.940222222223,1742.5111308165135,12101.527597788168,14780.352846656278,5366.252,28853.412,29657.203
169,13565.848444444444,1744.9768331078292,12224.540513450404,14907.156375438484,5366.252,29025.16,29833.732
170,13690.76288888889,1747.4242197127207,12347.57373001774,15033.95204776004,5525.4756,29196.904,30010.268
171,13815.262611111111,1750.58207677057,12469.6461084287,15160.879113793522,5525.4756,29368.654,30186.793
172,13941.06577777778,1753.6657891537357,12593.078923926249,15289.05263162931,5685.508,29540.4,30363.326
173,14066.665666666666,1755.8847165468326,12716.973194233735,15416.358139099597,5685.508,29712.146,30539.857
174,14192.13488888889,1758.9021916722972,12840.122979750227,15544.146798027552,5846.544,29883.893,30716.387
175,14318.163000000002,1761.289996382978,12964.315661682376,15672.010338317628,5846.544,30055.64,30892.916
176,14443.035666666665,1763.6209318250621,13087.396612759592,15798.674720573737,6002.498,30227.387,31069.447
177,14569.580777777775,1765.7093595617443,13212.336416205082,15926.825139350469,6002.498,30399.135,31245.984
178,14694.54477777778,1767.607461106752,13335.841406201145,16053.248149354416,6161.5586,30570.88,31422.51
