t,ppo_mean,ppo_std,ppo_ci_lo,ppo_ci_hi,caetc_mean
26,2043.7270444444443,44.618738428997204,2009.4300460028242,2078.0240428860643,2203.2913
27,2114.0542444444445,47.79535457654616,2077.3154826787563,2150.7930062101327,2288.0334
28,2183.6122777777778,51.16288092193355,2144.2850061194654,2222.93954943609,2372.776
29,2252.553977777778,54.85104726654676,2210.391730505466,2294.71622505009,2457.517
30,2321.6639888888885,58.328905596441764,2276.8284230531126,2366.4995547246644,2542.26
31,2390.1069444444447,62.27139347820782,2342.240914155887,2437.9729747330025,2627.0012
32,2458.0288333333333,66.34742722508166,2407.0296861529346,2509.027980513732,2711.7434
33,2525.8309444444444,70.60943949126255,2471.5557246273447,2580.106164261544,2796.485
34,2591.9498111111106,75.24322183407037,2534.112750879294,2649.7868713429275,2881.2275
35,2658.849088888888,79.37445519254672,2597.836481587691,2719.8616961900852,2965.9695
36,2724.7727666666665,83.8694220695928,2660.305021963445,2789.240511369888,3050.711
37,2790.3443111111105,88.61685514889999,2722.2273663037267,2858.4612559184943,3135.4531
38,2855.912477777778,93.44921373229651,2784.0810533450267,2927.743902210529,3220.1958
39,2920.7338222222224,98.2289736242034,2845.2283490974646,2996.2392953469803,3304.937
40,2984.8584444444446,103.25049322438007,2905.4930896653477,3064.2237992235414,3389.6787
41,3047.340488888889,108.94814088608219,2963.5955344201852,3131.085443357593,3474.4214
42,3109.576466666667,114.56834698838077,3021.5114393604294,3197.6414939729043,3559.1633
43,3171.3999444444444,119.91018663983587,3079.228815696256,3263.571073192633,3643.9045
44,3233.886966666667,125.66652374287071,3137.2911255307363,3330.4828078025976,3728.6475
45,3294.772766666667,131.36808962392655,3193.794314031118,3395.7512193022158,3813.3892
46,3355.008288888889,137.10357407994925,3249.6211526290112,3460.395425148767,3898.131
47,3414.3667,143.04819941815066,3304.410120202745,3524.323279797255,3982.873
48,3473.719444444445,148.94102058840363,3359.233241318316,3588.205647570574,4067.6152
49,3531.872033333334,155.44738847702627,3412.384593121764,3651.359473544904,4152.3574
50,3589.6647333333335,161.90678327342405,3465.2121627512934,3714.1173039153737,4237.0986
51,3646.6292111111115,168.52694762841662,3517.08793173629,3776.170490485933,4321.8413
52,3703.4585888888896,175.23509794375133,3568.760968725157,3838.156209052622,4406.583
53,3760.0411000000004,182.26026398495358,3619.9434591890986,3900.138740810902,4491.325
54,3815.482733333333,188.94550835234222,3670.246358803748,3960.7191078629176,4576.0674
55,3870.632,196.34469867345538,3719.708104311199,4021.5558956888012,4660.809
56,3925.282855555555,203.24181192109015,3769.0573693100814,4081.508341801029,4745.551
57,3978.963333333333,210.3938396885469,3817.240311885576,4140.68635478109,4830.294
58,4031.5537666666664,217.40485036016906,3864.441605352002,4198.66592798133,4915.034
59,4085.0680444444442,224.44497425716688,3912.544364856838,4257.5917240320505,4999.7773
60,4137.402488888889,231.3303834664042,3959.5862152649242,4315.218762512854,5084.5195
61,4189.8994111111115,238.35844481390546,4006.6808913105447,4373.117930911678,5169.261
62,4241.605033333334,245.83458584868083,4052.6398428189136,4430.570223847754,5254.003
63,4292.304244444444,252.76444613508292,4098.01229177108,4486.596197117808,5338.7456
64,4342.623155555555,260.2138438585277,4142.605088897177,4542.641222213933,5423.487
65,4393.391422222223,268.0104060250868,4187.380387365024,4599.402457079422,5508.2295
66,4442.815655555556,275.6200112993211,4230.955360288472,4654.6759508226405,5592.9717
67,4491.406733333333,283.35163530884194,4273.6033857536495,4709.210080913017,5677.7134
68,4539.957477777778,290.7386806390569,4316.475944505289,4763.439011050267,5762.4556
69,4587.089333333333,298.85061513856317,4357.372415227388,4816.806251439279,5847.1963
70,4634.268588888888,306.5722873200888,4398.616268122513,4869.920909655263,5931.9395
71,4680.882855555556,314.82311050171523,4438.888390663958,4922.877320447154,6016.6807
72,4726.680688888889,323.3528014098666,4478.129723161887,4975.23165461589,6101.4233
73,4771.930088888889,331.5478156560544,4517.079877581966,5026.780300195813,6186.165
74,4817.901277777779,339.8137300554996,4556.6973222087345,5079.105233346823,6270.907
75,4862.125733333333,348.0888843797012,4594.560931067268,5129.690535599399,6355.649
76,4905.383522222222,356.4504124240943,4631.391480540492,5179.375563903953,6440.391
77,4948.560344444444,365.2705350427786,4667.788556352149,5229.33213253674,6525.134
78,4991.649644444446,374.0881824634003,4704.100012547242,5279.199276341649,6609.875
79,5035.647711111112,382.36973669311374,4741.732313114029,5329.563109108194,6694.617
80,5077.756822222222,391.1978831366512,4777.055510156811,5378.458134287633,6779.3584
81,5119.574322222224,399.8678562729968,4812.208678855305,5426.939965589142,6864.102
82,5161.790033333335,408.2188624879981,4848.00523834478,5475.574828321889,6948.8433
83,5202.795744444444,416.8064581873226,4882.409939057854,5523.181549831033,7033.586
84,5243.813388888888,425.44895157512855,4916.78437500538,5570.842402772396,7118.3276
85,5284.939944444445,434.24869914158955,4951.1468458019335,5618.733043086957,7203.069
86,5325.090633333332,443.6122342221242,4984.10008448554,5666.081182181125,7287.811
